interaction,stability,new_stability,Diff
-2.750019087358969,0.2,0.17361111111111108,0.026388888888888934
-2.789108701976253,0.8,0.3038194444444445,0.49618055555555557
-2.868701570055506,0.36,0.2604166666666667,0.0995833333333333
-2.7218581287806445,0.16,0.13020833333333334,0.02979166666666666
-2.709800179895373,0.2,0.21701388888888892,-0.01701388888888891
-2.7074947740428734,0.36,0.21701388888888892,0.14298611111111106
-2.737644354619368,0.44,0.17361111111111108,0.2663888888888889
-2.811377669834329,0.88,0.17361111111111108,0.706388888888889
-2.682543425294925,0.6,0.2604166666666667,0.3395833333333333
-2.637873013759092,0.28,0.21701388888888892,0.0629861111111111
-2.6953687356860274,0.2,0.21701388888888892,-0.01701388888888891
-2.690225656888515,0.88,0.17361111111111108,0.706388888888889
-2.931511996326845,0.48,0.17361111111111108,0.30638888888888893
-2.5946577296384072,0.0,0.2604166666666667,-0.2604166666666667
-2.7144756081561567,0.16,0.13020833333333334,0.02979166666666666
-2.7808525623339144,0.16,0.17361111111111108,-0.013611111111111074
-2.467063740637216,0.72,0.21701388888888892,0.502986111111111
-2.7125371900162865,0.2,0.21701388888888892,-0.01701388888888891
-2.728813923467964,0.28,0.3038194444444445,-0.02381944444444445
-2.829321282563237,0.2,0.21701388888888892,-0.01701388888888891
-2.4695015276032564,0.16,0.17361111111111108,-0.013611111111111074
-2.6924604106747774,0.24,0.21701388888888892,0.02298611111111107
-2.438676831173068,0.76,0.17361111111111108,0.586388888888889
-2.58676380343878,0.36,0.17361111111111108,0.1863888888888889
-2.7474152626405206,0.16,0.13020833333333334,0.02979166666666666
-2.605040486898838,0.6,0.3038194444444445,0.2961805555555555
-2.8419635107536334,0.2,0.34722222222222215,-0.14722222222222214
-2.8924916235882128,0.24,0.21701388888888892,0.02298611111111107
-2.3967808900746777,0.24,0.34722222222222215,-0.10722222222222216
-2.7698086852690667,0.2,0.13020833333333334,0.06979166666666667
-1.9343457677835303,0.16,0.17361111111111108,-0.013611111111111074
-1.8626954624562533,0.16,0.13020833333333334,0.02979166666666666
-2.111034655993829,0.24,0.2604166666666667,-0.020416666666666694
-2.1489958662565027,0.56,0.17361111111111108,0.386388888888889
-1.992021672229617,0.16,0.13020833333333334,0.02979166666666666
-1.6144747043387122,0.2,0.2604166666666667,-0.060416666666666674
-2.4420038660872,0.36,0.34722222222222215,0.012777777777777832
-1.5984821018584614,0.24,0.13020833333333334,0.10979166666666665
-1.9205126995122268,0.2,0.13020833333333334,0.06979166666666667
-1.9080379486224488,0.32,0.34722222222222215,-0.027222222222222148
-1.9264486804215613,0.04,0.21701388888888892,-0.17701388888888892
-1.2262348351870842,0.48,0.390625,0.08937499999999998
-1.7727387358163955,0.2,0.17361111111111108,0.026388888888888934
-1.8409663178961024,0.24,0.13020833333333334,0.10979166666666665
-1.910580808675161,0.6,0.390625,0.20937499999999998
-2.0821911013101286,0.16,0.17361111111111108,-0.013611111111111074
-1.5622609325662462,0.28,0.3038194444444445,-0.02381944444444445
-1.2795373420885705,0.52,0.17361111111111108,0.34638888888888897
-1.9608415147978504,0.2,0.17361111111111108,0.026388888888888934
-1.9161259229530847,0.04,0.2604166666666667,-0.22041666666666668
-1.410389664293788,0.28,0.21701388888888892,0.0629861111111111
-1.281835775439439,0.64,0.17361111111111108,0.46638888888888896
-1.5358830780065689,0.28,0.21701388888888892,0.0629861111111111
-1.577911026489491,0.16,0.13020833333333334,0.02979166666666666
-1.7935154834163791,0.24,0.21701388888888892,0.02298611111111107
-2.200835950205335,0.32,0.3038194444444445,0.01618055555555553
-2.254918802156791,0.28,0.13020833333333334,0.14979166666666668
-1.801433136783978,0.52,0.2604166666666667,0.25958333333333333
-1.8527166390859848,0.76,0.21701388888888892,0.5429861111111111
-1.9021390802110127,0.24,0.21701388888888892,0.02298611111111107
-0.9260206292760768,0.2,0.17361111111111108,0.026388888888888934
-0.8055112337237096,0.28,0.34722222222222215,-0.06722222222222213
-1.0571377113752558,0.24,0.17361111111111108,0.06638888888888891
-0.5780646304273636,0.28,0.21701388888888892,0.0629861111111111
-0.537191644217204,0.28,0.0,0.28
-0.6351571376422285,0.32,0.3038194444444445,0.01618055555555553
-1.3370175109530889,0.2,0.21701388888888892,-0.01701388888888891
-0.4739688546702035,0.32,0.3038194444444445,0.01618055555555553
-1.053248124129981,0.2,0.21701388888888892,-0.01701388888888891
-0.4960828764421289,0.24,0.17361111111111108,0.06638888888888891
-0.8122624883903193,0.2,0.13020833333333334,0.06979166666666667
-0.8972435643031005,0.24,0.21701388888888892,0.02298611111111107
-1.0444959510562997,0.28,0.2604166666666667,0.01958333333333334
-1.5902115120887697,0.36,0.3038194444444445,0.05618055555555551
-0.96572760870001,0.2,0.21701388888888892,-0.01701388888888891
-0.9156759879481948,0.28,0.3038194444444445,-0.02381944444444445
-1.0064550242450565,0.16,0.3038194444444445,-0.14381944444444447
-1.076959458512486,0.2,0.13020833333333334,0.06979166666666667
-0.8435180522093368,0.32,0.3038194444444445,0.01618055555555553
-1.3330204582202057,0.24,0.34722222222222215,-0.10722222222222216
-0.7583315437670737,0.2,0.21701388888888892,-0.01701388888888891
-1.365807472633127,0.2,0.21701388888888892,-0.01701388888888891
-0.5309834307354653,0.44,0.34722222222222215,0.09277777777777785
-0.7163636329626006,0.16,0.13020833333333334,0.02979166666666666
-0.6290676113202935,0.28,0.13020833333333334,0.14979166666666668
-0.7769529605729768,0.0,0.17361111111111108,-0.17361111111111108
-0.6596869289670714,0.24,0.17361111111111108,0.06638888888888891
