stability,resistance_invasion,resistance_environment,total_positive_up,mean_positive_up,total_negative_up,mean_negative_up,degree_up,total_positive_down,mean_positive_down,total_negative_down,mean_negative_down,degree_down,total_positive_trans,mean_positive_trans,total_negative_trans,mean_negative_trans,degree_trans,mu,rho,richness_up,richness_down
0.56,0.56,0.0,4.95608,0.16520266666666664,8.339341999999998,0.19855576190476187,8.0,8.989857999999998,0.2365752105263157,6.6139600000000005,0.19452823529411764,8.0,8.192364999999999,0.19505630952380956,8.465661,0.2170682307692308,9.0,0.0,0.0,9,9
0.56,0.56,0.0,6.447756,0.201492375,5.9754330000000015,0.24897637500000006,7.0,8.989857999999998,0.2365752105263157,6.6139600000000005,0.19452823529411764,8.0,7.283204,0.227600125,10.741641,0.268541025,8.0,0.0,0.0,8,9
0.56,0.56,0.0,8.930685,0.21263535714285714,9.372051,0.1952510625,9.0,0.47269399999999995,0.23634699999999997,0.0,0.0,1.0,2.800859,0.25462354545454546,2.515296,0.2794773333333333,10.0,0.0,0.0,8,5
0.68,0.68,0.0,6.585144999999999,0.19954984848484844,4.071161,0.177007,7.0,0.47269399999999995,0.23634699999999997,0.0,0.0,1.0,2.3987990000000003,0.2398799,2.252321,0.3753868333333333,8.0,0.0,0.0,10,5
0.44,0.44,0.0,3.609543,0.150397625,4.7371680000000005,0.263176,6.0,0.47269399999999995,0.23634699999999997,0.0,0.0,1.0,1.055754,0.175959,1.801725,0.225215625,7.0,0.0,0.0,8,5
0.24,0.24,0.0,6.001635,0.2000545,5.6917849999999985,0.21891480769230767,7.0,0.6409729999999999,0.21365766666666666,0.220492,0.07349733333333335,2.0,3.6028819999999993,0.3275347272727272,2.775276,0.21348276923076925,8.0,0.0,0.0,10,5
0.12,0.12,0.0,3.5253479999999997,0.16024309090909086,4.386345,0.21931725,6.0,0.6409729999999999,0.21365766666666666,0.220492,0.07349733333333335,2.0,1.6024189999999998,0.228917,2.0684690000000003,0.14774778571428573,7.0,0.0,0.0,9,5
0.28,0.28,0.0,6.127161,0.2269318888888889,5.4510760000000005,0.1879681379310345,7.0,0.6409729999999999,0.21365766666666666,0.220492,0.07349733333333335,2.0,2.570097,0.2570097,3.3258980000000005,0.2375641428571429,8.0,0.0,0.0,10,5
0.28,0.28,0.0,8.261096,0.2118229743589744,6.622572,0.200684,8.0,0.6409729999999999,0.21365766666666666,0.220492,0.07349733333333335,2.0,3.9993269999999996,0.2856662142857143,2.6095490000000003,0.2007345384615385,9.0,0.0,0.0,10,5
0.4,0.4,0.0,4.450167000000001,0.20228031818181824,3.5971910000000005,0.17985955,6.0,0.6409729999999999,0.21365766666666666,0.220492,0.07349733333333335,2.0,2.654775,0.26547750000000003,3.052262,0.27747836363636363,7.0,0.0,0.0,13,5
0.48,0.48,0.0,10.217266,0.2173886382978723,8.632954,0.20076637209302325,9.0,0.0,0.0,1.065341,0.5326705,1.0,3.141633,0.2416640769230769,2.798807,0.39982957142857145,10.0,0.0,0.0,13,5
0.56,0.56,0.0,15.838408,0.1955359012345679,19.450826000000006,0.1925824356435644,13.0,0.0,0.0,1.065341,0.5326705,1.0,3.833064,0.2395665,4.091251000000001,0.3409375833333333,14.0,0.0,0.0,13,5
0.56,0.56,0.0,11.910616999999998,0.2165566727272727,11.599047,0.2108917636363636,10.0,0.0,0.0,1.065341,0.5326705,1.0,3.3022400000000003,0.2358742857142857,1.341711,0.16771387499999998,11.0,0.0,0.0,6,5
0.52,0.52,0.0,11.930569999999998,0.19558311475409831,13.792839999999998,0.19426535211267604,11.0,0.0,0.0,1.065341,0.5326705,1.0,3.5912889999999997,0.21125229411764707,1.757613,0.2510875714285715,12.0,0.0,0.0,9,4
0.4,0.4,0.0,4.832569,0.17259175000000002,5.550949,0.19824817857142854,7.0,0.0,0.0,1.065341,0.5326705,1.0,2.1798919999999997,0.24221022222222224,2.536948,0.3624211428571428,8.0,0.0,0.0,11,4
0.6,0.6,0.0,6.596822,0.19990369696969693,8.703697,0.223171717948718,8.0,0.0,0.0,1.065341,0.5326705,1.0,3.234469,0.2695390833333333,1.364734,0.2274556666666667,9.0,0.0,0.0,9,4
0.4,0.4,0.0,7.837512000000001,0.20625031578947373,3.8215530000000006,0.21230850000000004,7.0,1.990735,0.1421953571428571,1.237858,0.20630966666666664,4.0,4.563892,0.17553430769230768,4.362311,0.3115936428571429,8.0,0.0,0.0,10,4
0.36,0.36,0.0,6.993188000000001,0.1748297,6.785603,0.21205009375,8.0,1.990735,0.1421953571428571,1.237858,0.20630966666666664,4.0,3.995721,0.166488375,5.779738,0.27522561904761905,9.0,0.0,0.0,8,1
0.44,0.44,0.0,11.455125,0.20455580357142852,9.748546000000001,0.1805286296296296,10.0,0.903596,0.3011986666666667,0.715616,0.2385386666666667,2.0,4.469646,0.279352875,2.755902,0.16211188235294116,11.0,0.0,0.0,10,1
0.24,0.24,0.0,3.436955,0.20217382352941174,4.346031,0.17384124,6.0,0.903596,0.3011986666666667,0.715616,0.2385386666666667,2.0,1.930765,0.1755240909090909,2.678243,0.2678243,7.0,0.0,0.0,8,1
0.24,0.24,0.0,8.013254,0.22259038888888888,8.811752,0.2447708888888889,8.0,0.903596,0.3011986666666667,0.715616,0.2385386666666667,2.0,4.095503,0.22752794444444446,2.5684890000000005,0.2853876666666667,9.0,0.0,0.0,11,1
0.36,0.36,0.0,12.475778000000002,0.19802822222222224,13.48911,0.19549434782608696,11.0,0.903596,0.3011986666666667,0.715616,0.2385386666666667,2.0,4.715714,0.22455780952380952,3.804682000000001,0.2536454666666667,12.0,0.0,0.0,10,1
0.48,0.48,0.0,8.932919,0.20774230232558136,5.080253,0.1751811379310345,8.0,0.903596,0.3011986666666667,0.715616,0.2385386666666667,2.0,4.481802,0.248989,2.336153,0.25957255555555553,9.0,0.0,0.0,8,1
0.4,0.4,0.0,2.8534850000000005,0.19023233333333334,2.591424,0.1727616,5.0,3.1701880000000013,0.13783426086956527,3.3510050000000002,0.17636868421052632,6.0,4.135581,0.18798095454545452,3.695213,0.18476065,6.0,0.0,0.0,13,1
0.48,0.48,0.0,6.5284970000000015,0.20401553125,5.162640000000001,0.21511,7.0,0.0,0.0,0.0,0.0,0.0,0.8772199999999999,0.219305,0.6652659999999999,0.16631649999999998,8.0,0.0,0.0,11,1
0.48,0.48,0.0,9.915318,0.206569125,7.597561999999999,0.18089433333333327,9.0,0.0,0.0,0.0,0.0,0.0,1.3252890000000002,0.2650578,0.9236840000000001,0.1847368,10.0,0.0,0.0,8,1
0.28,0.28,0.0,10.361668,0.22525365217391305,12.632720999999998,0.197386265625,10.0,0.0,0.0,0.0,0.0,0.0,1.1382770000000002,0.16261100000000006,0.4250580000000001,0.1062645,11.0,0.0,0.0,6,1
0.64,0.64,0.0,7.735322,0.18866639024390244,6.770117999999999,0.21839090322580645,8.0,0.0,0.0,0.0,0.0,0.0,1.328267,0.26565340000000004,1.370189,0.34254725,9.0,0.0,0.0,13,1
0.04,0.04,0.0,6.761002,0.1779211052631579,4.614396,0.1357175294117647,8.0,0.0,0.0,0.5324789999999999,0.2662395,1.0,1.531191,0.191398875,2.042597,0.2042597,9.0,0.0,0.0,9,1
0.32,0.32,0.0,8.735282999999999,0.15598719642857142,11.075485999999998,0.20510159259259256,10.0,0.0,0.0,0.5324789999999999,0.2662395,1.0,1.5071139999999998,0.1507114,1.729293,0.14410775,11.0,0.0,0.0,13,1
0.44,0.44,0.0,8.796775,0.1724857843137255,7.035578000000001,0.18039943589743596,9.0,0.0,0.0,0.5324789999999999,0.2662395,1.0,1.843978,0.16763436363636364,1.5973739999999998,0.17748599999999998,10.0,0.0,0.0,10,1
