interaction,stability
-2.750019087358969,0.2
-2.789108701976253,0.8
-2.868701570055506,0.36
-2.7218581287806445,0.16
-2.709800179895373,0.2
-2.7074947740428734,0.36
-2.7376443546193676,0.44
-2.811377669834329,0.88
-2.682543425294925,0.6
-2.6378730137590916,0.28
-2.6953687356860274,0.2
-2.690225656888515,0.88
-2.931511996326845,0.48
-2.5946577296384072,0.0
-2.7144756081561567,0.16
-2.7808525623339144,0.16
-2.467063740637216,0.72
-2.7125371900162865,0.2
-2.728813923467964,0.28
-2.8293212825632374,0.2
-2.4695015276032564,0.16
-2.6924604106747774,0.24
-2.438676831173068,0.76
-2.58676380343878,0.36
-2.7474152626405206,0.16
-2.605040486898838,0.6
-2.8419635107536334,0.2
-2.8924916235882128,0.24
-2.3967808900746777,0.24
-2.7698086852690667,0.2
-1.9343457677835305,0.16
-1.8626954624562533,0.16
-2.111034655993829,0.24
-2.1489958662565027,0.56
-1.9920216722296171,0.16
-1.6144747043387122,0.2
-2.4420038660872,0.36
-1.5984821018584614,0.24
-1.9205126995122268,0.2
-1.9080379486224492,0.32
-1.9264486804215615,0.04
-1.2262348351870842,0.48
-1.7727387358163957,0.2
-1.8409663178961022,0.24
-1.910580808675161,0.6
-2.0821911013101286,0.16
-1.5622609325662462,0.28
-1.2795373420885705,0.52
-1.9608415147978504,0.2
-1.9161259229530847,0.04
-1.4103896642937879,0.28
-1.281835775439439,0.64
-1.5358830780065689,0.28
-1.577911026489491,0.16
-1.7935154834163793,0.24
-2.200835950205335,0.32
-2.254918802156791,0.28
-1.801433136783978,0.52
-1.8527166390859846,0.76
-1.9021390802110127,0.24
-0.9260206292760769,0.2
-0.8055112337237096,0.28
-1.0571377113752558,0.24
-0.5780646304273636,0.28
-0.537191644217204,0.28
-0.6351571376422285,0.32
-1.3370175109530889,0.2
-0.47396885467020355,0.32
-1.053248124129981,0.2
-0.49608287644212895,0.24
-0.8122624883903193,0.2
-0.8972435643031005,0.24
-1.0444959510562997,0.28
-1.5902115120887697,0.36
-0.9657276087000101,0.2
-0.9156759879481947,0.28
-1.0064550242450563,0.16
-1.076959458512486,0.2
-0.8435180522093368,0.32
-1.3330204582202057,0.24
-0.7583315437670737,0.2
-1.365807472633127,0.2
-0.5309834307354653,0.44
-0.7163636329626006,0.16
-0.6290676113202935,0.28
-0.7769529605729768,0.0
-0.6596869289670714,0.24
-1.184228369995645,0.32
-0.9335404450797133,0.24
-1.1823291829525497,0.24
-0.07592180489626858,0.2
-0.21331773192109568,0.2
-0.2948182646134531,0.16
-0.13011455357342253,0.24
-0.216891321252729,0.28
-0.5532333602419441,0.2
-0.2884214551720035,0.24
-0.3406318143530712,0.24
-0.24819878010353288,0.24
-0.5174936624549673,0.36
-0.13631863561222407,0.32
-0.3195284946898497,0.16
-0.2974939770122089,0.16
-0.3349431079015524,0.16
-0.08807981529503547,0.16
-0.39891334162210834,0.2
-0.13613938459353392,0.32
-0.6180599026798015,0.2
-0.3432886506310091,0.24
-0.25473068705022583,0.2
-0.405212891512203,0.2
-0.2796084737599027,0.24
-0.3637296019347277,0.32
-0.25817069384425356,0.36
-0.5428985442986868,0.2
-0.3554775315979723,0.24
-0.03956423221329408,0.28
-0.3616397193448124,0.2
-0.2239104871544034,0.16
-0.16575668718462178,0.32
0.4445372928852618,0.32
0.28995529249305874,0.16
0.247153107436133,0.2
0.27560278257172743,0.28
0.42098569748951664,0.16
0.24993866915523247,0.2
0.6008444717113495,0.24
0.3542737935417676,0.24
0.2663942230584413,0.28
0.4560917234887906,0.16
0.2523739755521326,0.24
0.566443539320872,0.2
0.28763526132993356,0.24
0.1994052067742853,0.2
0.8313804555004998,0.2
0.6325871277904346,0.24
0.10052901472030659,0.2
0.15957344482171443,0.2
0.19223657252462684,0.28
0.31320714616587336,0.2
0.30184743713833156,0.28
0.3425177644079153,0.28
0.316801248549846,0.24
0.259573259882131,0.24
0.3607339702127965,0.28
0.24051425890529934,0.2
0.3851970999146795,0.28
0.2567514947114257,0.2
0.3701740922388303,0.32
0.667178881902349,0.2
0.5270860383876678,0.2
0.905439256814663,0.24
0.9948427982572607,0.24
0.8474011097925469,0.28
1.2665406211229584,0.2
0.5038045139692398,0.16
0.5838491461043661,0.32
0.9562947959133883,0.24
0.9172582254930975,0.24
0.9097488554362767,0.32
0.9824633326638956,0.24
0.44551238773082646,0.2
0.869603802987882,0.2
0.6727002101555416,0.36
0.8307935150633634,0.24
0.8140510083901007,0.24
0.6276294923993394,0.24
0.9103676957409383,0.24
0.841116275882153,0.2
1.3150288696555834,0.28
0.7404270631288277,0.2
1.0029880454092606,0.24
1.160112787944071,0.16
1.1256802764618294,0.2
1.0490756211639596,0.32
0.6809322446541657,0.36
0.5151833843072415,0.28
1.2901859618345837,0.36
0.9755049323018389,0.28
0.7927210081924752,0.28
2.0397138708484825,0.4
1.8469375554079048,0.24
2.009957986751198,0.36
1.7191338343000642,0.28
1.45579147161032,0.44
1.8512126773023594,0.24
1.802963711830972,0.16
1.7144200265286145,0.2
1.3195348397257012,0.24
1.968283049637552,0.32
1.410326508756543,0.2
1.7750580847360113,0.28
1.609038798738853,0.28
1.4499681508617432,0.2
2.0827838985008915,0.28
1.5166822745021333,0.16
2.0774281870903724,0.16
1.9332371088998022,0.32
1.5655380799038967,0.4
2.0142434777041647,0.2
2.092243381328497,0.24
1.5742523964775466,0.2
1.7210959952150628,0.32
1.8105757047779605,0.24
2.2924567972211825,0.32
1.5410249045805828,0.24
1.623683713323201,0.4
1.4530210985701528,0.24
2.0510911273215284,0.32
1.4704176880859767,0.2
2.401220368688887,0.44
2.5983249034347424,0.36
2.841597070286163,0.2
2.6516584909533956,0.4
2.7433311674336216,0.24
2.611439640664573,0.28
2.6683261014034647,0.44
2.786559286886761,0.32
2.605642954536756,0.32
2.4652507808000936,0.28
2.6018538531312743,0.2
2.4398929110223246,0.32
2.7327741514130537,0.32
2.7707853990470137,0.24
2.5488971912211125,0.56
2.7191527732367318,0.28
2.9099581692567273,0.32
2.8382118095914906,0.32
2.6994901641751508,0.36
2.409504728778147,0.32
2.7669447627069634,0.4
2.2169564005079145,0.24
2.8202214639684433,0.32
2.8663568748916957,0.44
2.7445260845715325,0.2
2.722086320000382,0.24
2.7867291368137876,0.28
2.6550245534292722,0.36
2.789186518052866,0.24
2.6214603304323645,0.32
