stability,positive_trans,mean
0.675,0.011656234458166909,0.0001
0.675,0.05181496791658066,0.0005
0.675,0.1197685789642599,0.001
0.675,0.5665277858891649,0.005
0.7250000000000001,1.1002989293971415,0.01
0.7250000000000001,6.049595962980558,0.05
0.7250000000000001,11.446586756531097,0.1
